,surveyID,enum_no,Zone_NO,Class No,lat,lon,busi_activity,oper_time,home_del_pro,pick_take_away,deli_from,only_est,est_area,off_street_park,park_area,aload_docks,no_load_docks,full_emp,part_emp,work_shifts,load_share,to_2a,to_3w,to_bi,to_lt,to_ot,to_pi,owned_2a,owned_3w,owned_bi,owned_lt,owned_pi,owned_ot,leased_2a,leased_3w,leased_bi,leased_lt,leased_ot,leased_pi,len_m_100,len_m_300,len_m_500,len_m_750,NAICS_code,weekly_trucks,to_b3,to_tr,to_all_np
558,1557,1,1,4752,13.04966048,80.1920548,Building Material / Hardware,11.3781518,Yes,Yes,Several Individual warehouses,Yes,298.8583725,Yes,20,Yes,1,0.082457593,0.08898165,Yes,NA,0.239579282,0.517631166,0.497105213,0.81539397,0.715390068,0.871375046,1,0,0,0,1,1,0,1,1,1,1,1,510.42,8727.899911,19787.74586,37620.93937,44,0.466666667,1.014736379,1.054973251,0.285714286
100,1099,1,1,4520,12.98251175,80.19315215,Automobile dealer & sevice,12.29197607,Yes,Yes,Several Individual warehouses,Yes,985.9900845,Yes,20,Yes,1,4.082457593,0.08898165,Yes,No,0.362554429,0.384045752,0.687886653,0.809951464,0.541427342,0.095509969,0,1,0,1,0,1,1,1,1,1,1,0,486.79,8345.070011,21758.49315,40673.29094,44,0.233333333,1.071932404,1.172505892,0.428571429
645,1644,1,1,4520,13.05955819,80.27485502,Automobile dealer & sevice,10.05869396,Yes,Yes,Several Individual warehouses,Yes,3943.908963,Yes,20,Yes,1,13.08245759,0.08898165,Yes,No,0.953344113,0.934992261,0.219586803,0.259899343,0.095367615,0.181182158,1,1,0,0,2,1,1,1,1,1,0,0,823,6398.085829,18038.73912,43280.73299,42,0,1.154579064,1.213243457,0.066666667
53,1052,1,1,4520,12.96733007,80.15267124,Automobile dealer & sevice,10.40576927,Yes,Yes,Several Individual warehouses,Yes,131.3499792,Yes,20,Yes,1,1.082457593,3.08898165,Yes,No,0.292389007,0.113786701,0.858733154,0.270217572,0.637554859,1.060601185,1,1,2,1,0,1,0,1,0,1,0,1,791.9146,4768.422308,16714.68272,56274.61742,44,0,0.972519855,0.56260658,0.285714286
737,1736,1,1,4772,13.07695752,80.23869122,Pharma vendor,15.09441301,Yes,Yes,Several Individual warehouses,Yes,489.0032128,Yes,20,Yes,1,0.082457593,0.08898165,Yes,Yes,0.769250167,0.334836239,1.264595781,0.409942547,0.453308273,0.170037333,1,1,1,1,0,1,0,0,1,0,1,0,1564.5,7911.946438,17264.88646,33770.1861,44,0,1.59943202,1.179192714,1
587,1586,1,1,4721,13.05251265,80.19947452,Food stores,12.91553404,Yes,Yes,Several Individual warehouses,Yes,2026.944451,Yes,20,Yes,1,18.08245759,0.08898165,Yes,No,0.584633566,0.03291778,0.001735748,0.828907571,0.914210436,0.891848416,0,0,2,0,1,1,1,0,1,0,0,1,737.05,6785.937516,20809.12508,36547.82702,44,0,0.034653529,1.413541138,0.142857143
566,1565,1,1,4773,13.05037972,80.21406184,Apparel / Accessory,10.29107587,No,No,Others,No,1294.278546,No,20,No,1,0.082457593,1.08898165,No,Yes,0.584283233,0.107951232,0.812445447,0.613431296,0.134489735,0.24089643,1,0,1,1,0,1,1,1,0,1,0,0,608.33,5823.511218,18215.62452,43661.99157,44,0,0.920396679,1.197714529,0.428571429
1070,2069,1,1,4752,13.17660853,80.30033026,Building Material / Hardware,9.994375364,Yes,Yes,Several Individual warehouses,Yes,212.676151,Yes,20,Yes,1,-0.917542407,0.08898165,Yes,No,0.39867634,0.748015186,0.623901352,0.952756165,0.109429779,0.049474293,1,1,1,0,1,1,0,1,1,1,1,1,577.34,4410.392817,16087.44671,24864.76727,44,0,1.371916538,1.351432505,0.066666667
797,1796,1,1,4773,13.08766016,80.25863501,Apparel / Accessory,11.8019572,Yes,Yes,Several Individual warehouses,Yes,373.7753305,Yes,20,Yes,1,1.082457593,0.08898165,Yes,No,0.148860795,0.12079156,0.676422845,0.747806992,0.951757468,0.279482531,1,1,1,0,1,0,1,0,1,1,1,0,1065.07,5902.255308,16555.2812,34190.47546,44,0,0.797214405,0.896667787,0.1
675,1674,1,1,9999,13.06572447,80.21162227,Building Material / Hardware,11.09531691,Yes,Yes,From wholesale shops,Yes,239.1819394,Yes,20,Yes,1,0.082457593,0.08898165,Yes,No,0.550183328,0.127670332,0.504855657,0.210612839,0.007586731,0.45962994,0,1,1,0,0,0,1,0,0,0,1,1,836.64,7177.55819,16930.48645,46173.11894,44,0.233333333,0.632525989,0.760796168,1.285714286
349,1348,1,1,4721,13.0329644,80.26772656,Food stores,10.48985107,Yes,Yes,NA,Yes,626.942087,Yes,20,Yes,1,4.082457593,0.08898165,Yes,No,0.550419134,1.622495792,0.657778092,0.566424486,0.138152253,1.160911736,0,1,0,0,0,1,0,1,1,0,1,0,710.16,3796.78182,10178.40649,38643.74269,44,0,2.280273884,1.11684362,2
520,1519,1,1,4759,13.04749251,80.24858505,Electronics,10.26816649,Yes,Yes,Several Individual warehouses,Yes,441.8968835,Yes,20,Yes,1,2.082457593,0.08898165,Yes,Yes,0.208230578,0.404550054,0.838861084,0.853924615,0.879265872,0.126521485,0,0,0,1,0,1,0,0,1,1,1,0,752.64,6605.149654,17590.58128,34371.37113,44,0,1.243411137,1.062155193,1.142857143
955,1954,1,1,4721,13.12541217,80.2945586,Food stores,12.01737549,Yes,Yes,From wholesale shops,Yes,228.9523536,Yes,20,Yes,1,3.082457593,0.08898165,Yes,Yes,0.509596807,0.832674682,0.880778051,0.645586502,0.214693216,1.98445722,1,1,0,1,1,0,1,0,0,1,1,0,1162.92,7410.453267,19204.90028,29464.73244,44,0,1.713452733,1.15518331,1
412,1411,1,1,4759,13.03806684,80.16197261,Electronics,11.33240441,Yes,Yes,Several Individual warehouses,Yes,2967.948364,Yes,20,Yes,1,18.08245759,0.08898165,Yes,No,0.647587731,0.470640252,0.824716005,0.235237327,0.209438287,1.487685767,1,0,1,0,0,1,1,0,0,0,0,1,748.47,2796.488663,5064.557044,37221.95945,44,0,1.295356257,0.882825057,2
375,1374,1,1,4759,13.03543758,80.15635302,Electronics,10.1401761,Yes,Yes,From wholesale shops,Yes,1369.022594,Yes,20,Yes,1,1.082457593,0.08898165,Yes,No,0.176434809,0.398436558,0.067716297,0.449725246,0.00719329,1.802668621,1,0,0,0,1,0,1,0,0,0,0,0,970.53,6776.203497,19713.87249,32620.24343,44,0,0.466152855,0.626160055,1
819,1818,1,1,4752,13.09016414,80.2635424,Building Material / Hardware,10.72149122,Yes,Yes,Several Individual warehouses,Yes,367.1100376,Yes,20,Yes,1,0.082457593,0.08898165,Yes,No,0.430628963,0.792039666,0.672904823,0.915861095,0.392281741,0.599125533,0,0,1,1,1,1,1,0,1,1,0,0,719.75,6104.909212,16078.09347,31327.53524,44,0,1.464944488,1.346490058,0.033333333
555,1554,1,1,4771,13.04921149,80.19260141,Apparel / Accessory,13.66644273,Yes,Yes,Several Individual warehouses,Yes,1274.861628,Yes,20,Yes,1,5.082457593,3.08898165,Yes,Yes,0.955847792,0.645938457,0.242449669,0.477929553,0.863999463,0.056411627,0,1,1,1,0,1,0,0,0,0,0,0,648.24,6383.813447,16109.76289,37411.86442,44,0,0.888388125,1.433777345,0.428571429
1010,2009,1,1,4772,13.16182519,80.29822767,Pharma vendor,13.13910479,Yes,Yes,Several Individual warehouses,Yes,77.34082581,Yes,20,Yes,1,0.082457593,0.08898165,Yes,Yes,0.375108465,0.887006554,0.555961245,0.94229686,0.038195278,0.129211813,1,1,2,0,0,0,1,0,1,0,1,0,185.48,7866.234211,18126.7264,23241.26565,44,0,1.442967799,1.317405325,1
790,1789,1,1,4771,13.08582383,80.2808286,Apparel / Accessory,9.941863942,No,No,Central Warehouse of establishment,No,1153.660398,No,20,No,1,4.082457593,0.08898165,No,No,0.956639888,0.825494976,0.310142618,0.171605478,0.115461943,0.111031543,0,1,1,1,0,0,1,1,1,1,1,0,832.15,6332.480188,15756.46179,27459.86309,44,0,1.135637594,1.128245366,0.142857143
868,1867,1,1,9999,13.09209973,80.28339162,Others,10.10613242,Yes,Yes,Others,Yes,143.0097233,Yes,20,Yes,1,-0.917542407,0.08898165,Yes,No,0.15330254,0.7498961,0.548187661,0.426067981,0.948585933,0.196085755,1,1,0,1,1,0,1,1,1,1,1,0,623.24,8414.215886,15753.70106,18479.93235,44,0,1.29808376,0.579370521,0.066666667
995,1994,1,1,4721,13.1545563,80.22728586,Food stores,12.23674507,Yes,Yes,Several Individual warehouses,Yes,391.6987701,Yes,20,Yes,1,3.082457593,0.08898165,Yes,Yes,0.622125878,0.982325349,0.661147472,0.416234911,0.390728282,1.414369358,0,1,1,0,1,1,0,1,0,0,0,1,464.18,7545.506001,20728.20455,12988.28392,44,0,1.643472821,1.038360789,1
930,1929,1,1,4771,13.11149422,80.28149208,Apparel / Accessory,12.23455194,No,No,Several Individual warehouses,No,226.9881541,No,20,No,1,0.082457593,0.08898165,No,Yes,1.079855903,0.75616464,0.813975365,0.703042484,0.131356215,0.709641472,0,1,1,1,1,0,1,0,0,1,0,1,1269.46,7100.154389,17705.17463,39757.17563,44,0.466666667,1.570140005,1.782898387,0.285714286
78,1077,1,1,4759,12.9733235,80.24987487,Electronics,9.991220954,No,No,From wholesale shops,No,206.6946713,No,20,No,1,2.082457593,0.08898165,No,Yes,0.87992347,0.632755359,0.843612807,0.996711805,0.248294406,0.041129721,1,1,2,1,0,0,1,1,1,0,1,1,1312.13,6401.589098,19176.11089,38434.26771,44,0,1.476368167,1.876635274,0.285714286
884,1883,1,1,4649,13.09319283,80.27740303,Others,7.251186586,Yes,Yes,Several Individual warehouses,Yes,962.9098575,Yes,20,Yes,1,3.082457593,0.08898165,Yes,Yes,0.12423057,0.275877019,0.693291439,0.911327753,0.331217362,0.017526192,0,1,2,0,0,0,1,0,1,1,1,0,970.87,10017.6286,23186.2142,18601.56942,42,0.233333333,0.969168458,1.035558323,0.285714286
482,1481,1,1,4721,13.04207463,80.2681338,Food stores,11.87430151,Yes,Yes,Several Individual warehouses,Yes,231.1003376,Yes,20,Yes,1,-0.917542407,0.08898165,Yes,No,0.179780945,0.940707914,0.427053171,0.262973858,0.63104611,0.296990076,1,1,0,1,1,0,0,0,0,1,1,1,835.61,6310.326922,16502.79918,35765.98991,44,0,1.367761085,0.442754802,1
87,1086,1,1,4771,12.97682342,80.21948479,Apparel / Accessory,11.61638657,Yes,Yes,Several Individual warehouses,Yes,1377.016497,Yes,20,Yes,1,3.082457593,0.08898165,Yes,No,0.112033158,0.294105279,0.45897389,0.469518404,0.591395958,0.909534724,1,1,0,1,0,1,1,1,0,0,0,1,797.73,6941.246685,17793.86701,43027.8105,44,0,0.753079168,0.581551562,0.142857143
899,1898,1,1,4759,13.0979601,80.25923687,Others,10.14564521,Yes,Yes,Several Individual warehouses,Yes,660.7716776,Yes,20,Yes,1,0.082457593,0.08898165,Yes,No,0.782755798,0.7757065,0.57864934,0.561987871,0.656339271,0.200354104,1,1,0,1,2,0,1,0,0,0,0,0,966.08,6370.312403,17986.4481,33871.81344,44,0,1.35435584,1.344743669,0.033333333
36,1035,1,1,4520,12.9641874,80.14758032,Automobile dealer & sevice,10.76362011,Yes,Yes,Several Individual warehouses,Yes,519.4077242,Yes,20,Yes,1,1.082457593,0.08898165,Yes,Yes,0.278769946,0.488589925,0.898899358,0.644457438,0.052520503,1.681616087,0,0,0,1,0,1,1,0,0,0,1,0,1604.71,7139.576057,18867.10545,34204.25522,44,0,1.387489283,0.923227383,1
117,1116,1,1,4759,12.98764547,80.20669557,Others,11.5631761,Yes,Yes,Several Individual warehouses,Yes,660.8582786,Yes,20,Yes,1,2.082457593,0.08898165,Yes,No,0.056156329,0.147168295,0.094110264,0.076727477,0.205061318,0.899428248,1,0,3,1,1,0,0,0,0,0,1,0,390.36,6054.791506,19003.07658,39465.97485,44,2,0.241278559,0.132883806,0.066666667
950,1949,1,1,4759,13.11884679,80.22864156,Electronics,13.51048857,Yes,Yes,Several Individual warehouses,Yes,205.0632134,Yes,20,Yes,1,-0.917542407,0.08898165,Yes,No,1.024517704,0.579831714,0.335305706,0.796108919,0.361729403,0.939674843,0,1,0,1,0,0,0,1,1,0,1,0,527.15,6970.460911,19747.73919,35460.06969,44,0.233333333,0.91513742,1.820626623,0.142857143
810,1809,1,1,4630,13.08981513,80.26483403,Food stores,12.18643544,Yes,Yes,Several Individual warehouses,Yes,945.2567929,Yes,20,Yes,1,0.082457593,0.08898165,Yes,No,0.04178453,0.655664779,0.855091577,0.223735708,0.263511923,0.478633043,0,1,1,1,0,1,1,0,0,0,1,0,529.7,7323.428531,19206.97531,31728.67759,42,0,1.510756356,0.265520238,0.285714286
986,1985,1,1,4630,13.14944883,80.29909904,Food stores,15.67851212,Yes,Yes,Several Individual warehouses,Yes,279.4301907,Yes,20,Yes,1,1.082457593,0.08898165,Yes,Yes,0.203633401,0.146000891,0.828694249,0.602915319,0.274813979,0.31249407,1,0,1,1,1,1,0,0,1,0,1,1,600.14,7051.320855,18653.22152,25406.71071,42,0,0.97469514,0.806548719,0.142857143
280,1279,1,1,9999,13.02098232,80.20442919,Others,7.385071585,Yes,Yes,Several Individual warehouses,Yes,132.9485747,Yes,20,Yes,1,0.082457593,0.08898165,Yes,Yes,0.51747655,0.185134833,0.710718758,0.347394126,0.681003968,0.074099915,1,0,1,0,0,1,0,0,1,0,1,0,465.82,3300.991981,9055.66078,33428.85605,44,0,0.895853591,0.864870676,0.285714286
77,1076,1,1,4773,12.97326275,80.21862016,Others,11.29044866,Yes,Yes,Several Individual warehouses,Yes,91.68109436,Yes,20,Yes,1,0.082457593,0.08898165,Yes,No,0.630981626,0.79761436,0.720533958,0.750647832,0.062634554,0.064169897,0,0,0,0,0,0,1,0,0,1,1,1,622.64,6358.986804,17149.61015,40605.6187,44,0,1.518148317,1.381629458,0.285714286
142,1141,1,1,4721,12.99009478,80.26719957,Food stores,13.30084358,Yes,Yes,Several Individual warehouses,Yes,109.9179475,Yes,20,Yes,1,1.082457593,0.08898165,Yes,No,0.164990279,1.537852218,0.009034122,0.40736468,0.657822903,1.868421526,0,1,0,1,1,1,0,0,1,1,0,1,948.97,6106.00761,22946.96207,22413.7657,44,0,1.54688634,0.57235496,2.285714286
609,1608,1,1,4752,13.05370654,80.26633161,Building Material / Hardware,11.76438353,Yes,Yes,Several Individual warehouses,Yes,309.9339058,Yes,20,Yes,1,1.082457593,0.08898165,Yes,No,0.879864014,0.803566217,1.314644904,0.741734449,0.775632857,0.834996571,0,1,1,1,0,1,0,1,1,1,1,0,1114.84,5752.051239,15110.03188,37202.87542,44,0,2.118211122,1.621598463,2.142857143
1054,2053,1,1,4771,13.16872256,80.30459536,Apparel / Accessory,12.55551178,Yes,Yes,Several Individual warehouses,Yes,225.7719571,Yes,20,Yes,1,0.082457593,0.08898165,Yes,Yes,0.742383194,0.312030097,0.329017313,0.434406475,0.623883008,0.197486396,0,1,1,0,0,1,0,0,1,0,1,1,603.11,3288.208578,7649.006873,18511.6869,44,0,0.64104741,1.176789669,0.033333333
25,1024,1,1,4763,12.96308225,80.16565264,Others,12.43984487,Yes,Yes,Several Individual warehouses,Yes,101.1087902,Yes,20,Yes,1,-0.917542407,0.08898165,Yes,Yes,0.488382085,0.251213667,0.918706031,0.914454016,0.757653848,0.382912885,1,0,1,0,0,0,0,1,1,0,0,0,455.8,7517.507176,19083.87892,24520.36851,45,0.466666667,1.169919697,1.402836101,0.285714286
344,1343,1,1,4759,13.03273521,80.26753748,Home furniture/ appliances,12.53384929,Yes,Yes,Several Individual warehouses,Yes,4071.997139,Yes,20,Yes,1,10.08245759,0.08898165,Yes,No,0.710939853,0.801167056,0.98042053,0.214790635,0.515994982,0.263443264,0,1,1,0,0,0,0,1,1,0,0,1,721.65,5345.929319,15229.30745,38772.84343,44,0,1.781587586,0.925730487,0.285714286
216,1215,1,1,4772,13.00489508,80.25704233,Pharma vendor,14.15275368,Yes,Yes,From wholesale shops,Yes,324.2039117,Yes,20,Yes,1,2.082457593,0.08898165,Yes,No,0.048746613,0.647478253,5.557786656,0.795837902,0.990022199,0.404221175,0,1,2,0,1,0,0,1,1,0,1,0,893.48,8419.97132,19202.75597,29162.234,44,0,6.205264909,0.844584515,5
552,1551,1,1,4520,13.04901374,80.20364941,Automobile dealer & sevice,11.62099406,No,No,From wholesale shops,No,490.2099531,No,20,No,1,1.082457593,0.08898165,No,No,0.00817587,2.323307381,0.740198433,0.603574073,0.10298878,0.245053999,1,1,0,1,0,1,1,0,0,0,1,1,485.41,4848.968808,12325.04923,32393.12448,44,3,3.063505814,0.611749943,2.1
1025,2024,1,1,4759,13.16368789,80.25488786,Others,13.66002779,Yes,Yes,Several Individual warehouses,Yes,310.835553,Yes,20,Yes,1,0.082457593,0.08898165,Yes,Yes,0.711424004,0.331035511,0.956253474,0.064017819,0.4869872,0.366528065,0,0,0,1,0,1,0,1,0,1,1,1,84.72,5476.272501,15295.36301,20053.09768,44,0,1.287288984,0.775441824,0.066666667
46,1045,1,1,4663,12.96580702,80.14817157,Building Material / Hardware,11.48909137,Yes,Yes,Several Individual warehouses,Yes,316.7866948,Yes,20,Yes,1,0.082457593,0.08898165,Yes,Yes,0.405979843,0.965708048,0.975225189,0.551445568,0.623328655,0.289356207,1,1,1,1,1,1,0,1,1,0,1,0,1575.4,9269.988723,22629.42736,36653.92747,42,0,1.940933237,0.957425412,0.142857143
136,1135,1,1,4759,12.98965934,80.20392043,Electronics,10.30328115,Yes,Yes,Several Individual warehouses,Yes,97.91415411,Yes,20,Yes,1,1.082457593,0.08898165,Yes,No,0.221461639,0.350946251,0.064191876,0.679651535,0.110406024,1.333426166,0,0,1,0,1,1,0,0,1,1,1,1,646.07,7817.931025,19306.06125,39279.78655,44,0,0.415138128,0.901113174,0.571428571
634,1633,1,1,4759,13.05790449,80.23734215,Electronics,10.73525542,Yes,Yes,Several Individual warehouses,Yes,237.1278046,Yes,20,Yes,1,1.082457593,0.08898165,Yes,No,0.304833797,0.20748822,1.281918551,0.649087149,0.42191215,0.211172451,1,0,0,0,0,1,0,1,2,0,0,1,758.87,6096.601913,16354.78977,38133.59864,44,0,1.48940677,0.953920946,0.319047619
62,1061,1,1,9999,12.96922212,80.15016017,Building Material / Hardware,8.847347855,Yes,Yes,Several Individual warehouses,Yes,193.479051,Yes,20,Yes,1,0.082457593,0.08898165,Yes,No,0.06728028,0.668435193,0.260093564,0.759223387,0.530933809,0.119492042,0,1,0,1,1,0,1,1,1,0,0,0,1773.16,8349.306929,19675.24924,34694.17313,44,1,0.928528757,0.826503667,0.166666667
500,1499,1,1,4649,13.04528903,80.23269703,Others,9.626408355,Yes,Yes,Central Warehouse of establishment,Yes,904.713076,Yes,20,Yes,1,4.082457593,0.08898165,Yes,No,0.10830799,0.104385704,0.642258879,0.640224652,0.756220034,0.569713799,0,0,1,1,1,0,1,1,0,1,0,1,1115.22,6960.896257,16311.91794,40416.47497,42,0,0.746644583,0.748532643,0.133333333
324,1323,1,1,9999,13.03040802,80.18375754,Others,12.5557125,Yes,Yes,Several Individual warehouses,Yes,3092.744186,Yes,20,Yes,1,3.082457593,0.08898165,Yes,No,0.41507247,0.169530958,0.820749641,0.41283915,0.301477941,0.395099696,0,0,2,1,1,0,0,0,1,0,0,0,535.29,7608.055271,21250.52342,31149.2373,44,0,0.990280599,0.82791162,0.285714286
453,1452,1,1,4773,13.04060081,80.23663161,Apparel / Accessory,10.61448147,Yes,Yes,Several Individual warehouses,Yes,1490.59724,Yes,20,Yes,1,6.082457593,0.08898165,Yes,No,0.164647028,0.324160765,0.768395591,0.582266811,0.657794709,0.960518763,1,0,2,0,1,0,1,1,1,0,1,1,929.34,5397.15443,17340.54369,76713.27824,44,0,1.092556356,0.746913839,0.033333333
1049,2048,1,1,9999,13.16745006,80.3041966,Building Material / Hardware,12.40964163,Yes,Yes,Several Individual warehouses,Yes,829.1956366,Yes,20,Yes,1,3.082457593,0.08898165,Yes,Yes,0.250521163,0.461600786,0.795983508,0.588722185,0.499235549,0.954523891,0,1,0,0,0,0,0,1,1,1,0,1,440.33,5843.582279,16945.76913,38505.18911,44,0.466666667,1.257584294,0.839243348,0.285714286
225,1224,1,1,4752,13.00650571,80.19540187,Electronics,11.96585303,Yes,Yes,Several Individual warehouses,Yes,658.0996054,Yes,20,Yes,1,1.082457593,0.08898165,Yes,NA,0.955340235,0.831558588,0.005099974,0.871178014,0.570332609,0.636441084,1,0,0,0,0,0,1,1,1,0,0,1,531.2,6126.395946,19140.32319,31310.81179,44,0.466666667,0.836658563,1.82651825,0.857142857
973,1972,1,1,4771,13.13781785,80.29384404,Apparel / Accessory,10.76492115,Yes,Yes,Several Individual warehouses,Yes,448.0637385,Yes,20,Yes,1,1.082457593,0.08898165,Yes,Yes,0.64022235,0.489849082,0.651065585,0.972799516,0.471245904,0.786323385,1,1,1,1,0,1,1,1,0,1,0,0,754.8,5823.979337,17615.67732,32628.50288,44,0.466666667,1.140914668,1.613021866,0.428571429
714,1713,1,1,4771,13.07410487,80.22537645,Others,12.77584148,Yes,Yes,From wholesale shops,Yes,232.6949741,Yes,20,Yes,1,-0.917542407,0.08898165,Yes,No,0.666162207,0.238922782,0.31822846,0.961859771,0.833706139,0.34442304,1,1,2,1,1,1,0,1,1,1,0,2,1662.1,8464.598921,18969.05906,46247.22515,44,0,0.557151242,1.628021978,0.857142857
147,1146,1,1,4752,12.9908241,80.20541861,Building Material / Hardware,13.02020531,Yes,Yes,Several Individual warehouses,Yes,224.7420089,Yes,20,Yes,1,-0.917542407,0.08898165,Yes,Yes,0.645075215,0.500759722,0.534739554,0.404353119,0.564472192,0.832292513,0,0,1,1,1,0,1,0,1,1,1,0,779.39,9308.27992,22633.33895,38677.52112,44,1,1.035499276,1.049428334,0.176190476
962,1961,1,1,4752,13.13515641,80.29328545,Building Material / Hardware,11.39082242,Yes,Yes,Several Individual warehouses,Yes,69.41874907,Yes,20,Yes,1,0.082457593,0.08898165,Yes,Yes,0.214487676,0.069563665,0.708366125,0.731575153,0.680879771,0.477231104,0,0,1,1,0,0,1,1,1,0,1,0,792.01,6385.586265,18608.70595,33325.29118,44,0,0.77792979,0.946062829,0.571428571
218,1217,1,1,4759,13.00535733,80.25732274,Others,11.02726941,Yes,Yes,From wholesale shops,Yes,781.4958754,Yes,20,Yes,1,3.082457593,0.08898165,Yes,No,0.061380147,0.96774601,0.847001547,0.867031418,0.73364645,0.326785711,1,0,0,0,2,0,0,0,0,0,0,1,1071.61,6446.213777,18986.91108,28599.84625,44,0,1.814747557,0.928411565,0.333333333
1048,2047,1,1,4721,13.16676941,80.30415161,Food stores,11.14302342,Yes,Yes,Several Individual warehouses,Yes,185.2440486,Yes,20,Yes,1,0.082457593,0.08898165,Yes,No,0.256811714,0.033695146,1.458472692,0.832434775,0.614739811,0.421130803,1,1,1,1,0,0,1,1,1,0,0,0,477.26,10595.71352,21017.40154,18709.93316,44,0,1.492167837,1.089246489,1
857,1856,1,1,4641,13.09185076,80.28219032,Apparel / Accessory,10.23703656,Yes,Yes,Central Warehouse of establishment,Yes,570.4248928,Yes,20,Yes,1,4.082457593,0.08898165,Yes,Yes,0.590207867,0.42739171,0.945388118,0.936630375,0.205680971,0.608909682,1,0,1,0,0,0,0,1,1,0,1,0,589.75,6232.236017,16480.55519,15905.23045,42,0,1.372779828,1.526838242,0.066666667
867,1866,1,1,4649,13.09212101,80.28704787,Others,11.43389832,Yes,Yes,Several Individual warehouses,Yes,284.2663282,Yes,20,Yes,1,1.082457593,0.08898165,Yes,No,0.623452911,0.112041797,0.385841819,0.345916206,0.614425852,0.437388665,0,1,1,1,0,1,1,1,0,0,0,0,774.98,6853.919733,19240.89116,26411.11568,42,0,0.497883616,0.969369117,0.142857143
32,1031,1,1,4520,12.96398837,80.14761046,Automobile dealer & sevice,11.26660569,Yes,Yes,Several Individual warehouses,Yes,329.8354403,Yes,20,Yes,1,1.082457593,0.08898165,Yes,Yes,0.44992145,0.406764113,0.471263781,0.911264378,0.999113128,0.328466759,1,1,1,1,1,0,0,0,1,1,1,1,1621.05,9579.344786,22643.67782,33946.57375,44,0,0.878027894,1.361185828,0.285714286
924,1923,1,1,4721,13.11006567,80.28693174,Food stores,11.46132314,Yes,Yes,Several Individual warehouses,Yes,31.05665315,Yes,20,Yes,1,-0.917542407,0.08898165,Yes,Yes,0.046229244,0.204586347,0.562236454,0.98033234,0.753141096,0.19502803,0,1,0,1,0,1,0,1,1,1,0,0,880.94,5875.838643,18948.88729,39511.342,44,0,0.766822801,1.026561584,0.033333333
368,1367,1,1,4721,13.0181873,80.20565194,Food stores,12.96784505,Yes,Yes,Several Individual warehouses,Yes,443.9349287,Yes,20,Yes,1,0.082457593,0.08898165,Yes,No,0.484423908,0.54143652,1.70138458,0.771168007,0.820268865,0.680672733,1,0,0,0,0,1,0,1,0,0,0,1,320.88,8720.79056,24199.07483,32073.37634,44,0,2.2428211,1.255591915,1
814,1813,1,1,4759,13.09003727,80.25505872,Electronics,10.25688792,Yes,Yes,Several Individual warehouses,Yes,304.2670533,Yes,20,Yes,1,2.082457593,0.08898165,Yes,Yes,0.780739497,0.715327665,0.67802773,0.914249099,0.502031854,0.20181625,1,1,1,0,0,0,0,1,1,0,0,0,944.97,5382.338666,14288.95502,40895.90934,44,2,1.393355395,1.694988596,0.066666667
354,1353,1,1,4761,13.03369669,80.23054725,Others,12.36411894,No,No,Central Warehouse of establishment,No,1109.676937,No,20,No,1,2.082457593,0.08898165,No,No,0.591884125,0.475717639,0.850340325,0.893812013,0.394980358,0.755172307,1,0,1,1,0,1,1,1,1,0,1,1,826.81,5702.914296,16197.19419,39642.04876,45,0,1.326057964,1.485696139,0.571428571
827,1826,1,1,4752,13.09034594,80.26589715,Building Material / Hardware,11.6629288,Yes,Yes,Several Individual warehouses,Yes,221.0573443,Yes,20,Yes,1,0.082457593,0.08898165,Yes,No,0.158215082,0.175392095,2.315855946,0.371785244,0.660929956,0.76550475,1,1,0,1,1,0,0,1,0,1,1,1,757.628412,6081.483491,16065.79152,30805.54825,44,0,2.49124804,0.530000326,2
778,1777,1,1,4730,13.08307409,80.23385482,Others,19.72179572,NA,NA,Central Warehouse of establishment,NA,5063.252198,NA,20,NA,1,17.08245759,0.08898165,NA,Yes,0.461228766,0.934571162,0.975430573,1.532852232,0.371777568,0.864846734,0,0,0,0,1,0,0,0,1,1,1,1,545.02,7665.060632,20357.12271,112661.4828,44,7,1.910001736,1.994080998,1
848,1847,1,1,4759,13.09121053,80.28863121,Electronics,9.999535852,Yes,Yes,Several Individual warehouses,Yes,388.5838975,Yes,20,Yes,1,-0.917542407,0.08898165,Yes,No,0.915120397,0.136829343,0.158107748,0.990377084,0.346960961,0.261706762,0,1,2,1,1,1,1,0,0,1,1,0,717.33,5960.978715,17389.53406,26916.28841,44,0,0.29493709,1.905497481,1
672,1671,1,1,4730,13.0650123,80.24337468,Others,25.18493407,NA,NA,Central Warehouse of establishment,NA,2838.814317,NA,20,NA,1,4.082457593,3.08898165,NA,No,0.308938202,0.476114169,0.716709784,0.52855132,0.455628708,0.006426359,0,0,1,0,1,1,0,1,0,1,1,0,600.27,5588.244102,15784.41828,26488.57078,44,0,1.192823953,0.837489522,0
508,1507,1,1,4721,13.04601987,80.18843848,Food stores,12.71729522,Yes,Yes,Several Individual warehouses,Yes,1240.713622,Yes,20,Yes,1,10.08245759,0.08898165,Yes,Yes,0.145556114,0.589906849,0.257063514,0.730144942,0.645775826,2.648567254,1,1,3,1,0,1,0,1,1,1,1,1,594.23,6675.529968,18095.64256,38446.54752,44,1,0.846970363,0.875701057,3.033333333
